,title,author,journal,volume,pagerange,date,doi
Core Terms (used in all domains) + Output Type ID:10,Assessment of Dynamic Maritime Navigation Risks During Cold Surges in Bohai Bay and Northern Yellow Sea: An Integration of Atmospheric and Wave Numerical Models,Chen H.,Lecture Notes in Civil Engineering,735 LNCE,275-284,2026,10.1007/978-981-95-1487-8_27
Core Terms (used in all domains) + Output Type ID:11,Driver Cognitive Distraction Detection Based on Eye Movement Behavior and Spatio-Temporal Information Fusion,Qiao Y.,Lecture Notes in Computer Science,15295 LNCS,92-107,2026,10.1007/978-981-96-6603-4_7
Core Terms (used in all domains) + Output Type ID:12,"Vehicle Counting for Traffic Analysis: A Comparative Study Using YOLOv5, YOLOv8, and YOLO11",Naik D.S.B.,Lecture Notes in Networks and Systems,1628 LNNS,157-168,2026,10.1007/978-3-032-05545-3_13
Core Terms (used in all domains) + Evaluation / User Study ID:0,Self-management of lower extremity fracture patients: A concept analysis review,Nur A.,Multidisciplinary Reviews,9,,April 2026,10.31893/multirev.2026187
Core Terms (used in all domains) + Evaluation / User Study ID:1,Pharmacopuncture for patients with psychological stress caused by traffic accidents: A pragmatic randomized controlled pilot trial,Son J.Y.,Integrative Medicine Research,15,,March 2026,10.1016/j.imr.2025.101251
Core Terms (used in all domains) + Evaluation / User Study ID:2,A frequency-attentive spatio-temporal convolutional neural network with weighted feature fusion for EEG-based driver fatigue detection,Bello I.,Biomedical Signal Processing and Control,113,,March 2026,10.1016/j.bspc.2025.108979
Core Terms (used in all domains) + Evaluation / User Study ID:3,Do colored lane markings improve road safety? Causal evidence from Seoul,Lee S.,Accident Analysis and Prevention,226,,March 2026,10.1016/j.aap.2025.108336
Core Terms (used in all domains) + Evaluation / User Study ID:4,Automated geolocalization of vehicles from UAV footage: evaluating measurement precision of object detection and segmentation methods,Ahmed M.W.,Applied Geomatics,18,,March 2026,10.1007/s12518-025-00662-2
Core Terms (used in all domains) + Evaluation / User Study ID:5,A cross-scale traffic-communication control framework for improving safety through proactive congestion mitigation in mixed traffic,Wu Z.,Accident Analysis and Prevention,226,,March 2026,10.1016/j.aap.2025.108339
Core Terms (used in all domains) + Evaluation / User Study ID:6,Analyzing heterogeneity in motorcycle crashes: a comparative study of senior and young riders using the random forest approach,Mohamad I.,Case Studies on Transport Policy,23,,March 2026,10.1016/j.cstp.2025.101666
Core Terms (used in all domains) + Evaluation / User Study ID:7,SET-DGCN: An end-to-end electroencephalography-based fatigue detection method for young drivers,Cao Y.,Accident Analysis and Prevention,225,,February 2026,10.1016/j.aap.2025.108311
Core Terms (used in all domains) + Evaluation / User Study ID:8,A data-driven digital twin model for bridge health monitoring using feature fusion and unsupervised deep learning,Mousavi V.,Information Fusion,126,,February 2026,10.1016/j.inffus.2025.103534
Core Terms (used in all domains) + Evaluation / User Study ID:9,Why do drivers brake later than AEB in rear-end collisions? An analysis based on drive recorder videos,Zhao Y.,Accident Analysis and Prevention,225,,February 2026,10.1016/j.aap.2025.108275
Core Terms (used in all domains) + Evaluation / User Study ID:10,Factors associated with venous thromboembolism in hospitalized traumatic brain injury patients with external ventricular drains: Retrospective cohort study,Bonney P.A.,Clinical Neurology and Neurosurgery,261,,February 2026,10.1016/j.clineuro.2025.109265
Core Terms (used in all domains) + Evaluation / User Study ID:11,Evaluation of railway intelligent transportation systems to construct safer railway transport systems with a novel decision-making model,Görçün Ö.F.,Transport Policy,176,,February 2026,10.1016/j.tranpol.2025.103897
Core Terms (used in all domains) + Evaluation / User Study ID:12,Polynomial gated network: An intelligent classification method for driver fatigue based on EEG analysis,Huangfu C.,Measurement Journal of the International Measurement Confederation,257,,15 January 2026,10.1016/j.measurement.2025.118973
Core Terms (used in all domains) + Evaluation / User Study ID:13,Polarization imaging for visibility enhancement of targets in Dense Sea Fog,Jia Q.,Measurement Journal of the International Measurement Confederation,257,,15 January 2026,10.1016/j.measurement.2025.118557
Core Terms (used in all domains) + Evaluation / User Study ID:14,"Detection of driver maneuvers using a modular, low-cost sensor device",Pourkhaksar A.,Measurement Journal of the International Measurement Confederation,257,,15 January 2026,10.1016/j.measurement.2025.118864
Core Terms (used in all domains) + Evaluation / User Study ID:15,An enhanced FMEA based risk analysis for ship fire safety incorporating the dynamic consensus reaching process with bounded confidence opinion dynamics,Huang A.,Ocean Engineering,343,,15 January 2026,10.1016/j.oceaneng.2025.123318
Core Terms (used in all domains) + Evaluation / User Study ID:16,Enhancing Road Safety: A Real-Time Solution for Traffic Accident Reporting and Road Condition Monitoring,Georgiou S.,Lecture Notes in Computer Science,16079 LNCS,83-95,2026,10.1007/978-3-032-06164-5_7
Core Terms (used in all domains) + Evaluation / User Study ID:17,Application of the dual-model interpretability framework of XGBoost-SHAP and GAT-GNNExplainer to investigate the impact of the built environment on traffic accidents at intersections,Chen Y.,Accident Analysis and Prevention,224,,January 2026,10.1016/j.aap.2025.108305
Core Terms (used in all domains) + Evaluation / User Study ID:18,Decision Support System for Urban Road Safety: A Comparison Between Two Different City Size,Pinna M.,Lecture Notes in Computer Science,15889 LNCS,54-71,2026,10.1007/978-3-031-97603-2_4
Core Terms (used in all domains) + Evaluation / User Study ID:19,Improving Road Safety: Examining How Drowsiness Detection Technologies Affect the Reduction of Accidents,Kumar S.,Lecture Notes in Networks and Systems,1452 LNNS,107-121,2026,10.1007/978-981-96-7292-9_10
Core Terms (used in all domains) + Evaluation / User Study ID:20,Monitoring National Road Safety Strategies in the EU,Yannis G.,Lecture Notes in Mobility,Part F903,396-402,2026,10.1007/978-3-031-88974-5_58
Core Terms (used in all domains) + Evaluation / User Study ID:21,Use of Accident Prediction Models in Road Safety Management – An Irish Case Study,Harpham N.,Lecture Notes in Mobility,Part F903,209-214,2026,10.1007/978-3-031-88974-5_30
Core Terms (used in all domains) + Evaluation / User Study ID:22,Is road safety effective in promoting eco-driving? An experiment on how benefit framing affects eco-driving intentions among Montreal drivers,St-Arnaud V.C.,Transportation Research Part F Traffic Psychology and Behaviour,116,,January 2026,10.1016/j.trf.2025.103372
Core Terms (used in all domains) + Evaluation / User Study ID:23,Development of a Decision Support Tool for Safety in Transit Assessment at Stations: A Case Study of Bangkok's Suburban Rail Stations,Sripathomswat K.,Communications in Computer and Information Science,2540 CCIS,25-34,2026,10.1007/978-3-031-99353-4_3
Interactive / Online Visualization + Visualization Concepts ID:0,An Analytical Framework for Clustering Roads Based on Crash Severity Analysis,khedher I.,SN Computer Science,6,,August 2025,10.1007/s42979-025-04097-9
Interactive / Online Visualization + Visualization Concepts ID:1,The Dashboard of Remote Monitoring System for Driver Fatigue,Hidayat R.N.,Journal Europeen Des Systemes Automatises,58,1089-1100,June 2025,10.18280/jesa.580601
Interactive / Online Visualization + Visualization Concepts ID:2,Children on wheels: Identifying crash determinants using cluster correspondence analysis,Chakraborty R.,Accident Analysis and Prevention,216,,June 2025,10.1016/j.aap.2025.108025
Interactive / Online Visualization + Visualization Concepts ID:3,Towards Enhancing Road Safety in South Carolina Using Insights from Traffic and Driver-Education Data,Gupta N.,Proceedings of the Aaai Conference on Artificial Intelligence,39,29385-29387,11 April 2025,10.1609/aaai.v39i28.35260
Interactive / Online Visualization + Visualization Concepts ID:4,Driver-Centric Design: Empirical Strategies for Optimizing the Visualization of Driving Information on Vehicle Liquid Crystal Display Dashboards,Lin J.L.,IEEE Access,13,67334-67349,2025,10.1109/ACCESS.2025.3560681
Interactive / Online Visualization + Analytical Dimension / Focus ID:0,Exploring weather-related factors affecting the duration of multiple congestion levels caused by traffic incidents using a multivariate joint frailty survival model,Liu Y.,Travel Behaviour and Society,43,,April 2026,10.1016/j.tbs.2025.101209
Interactive / Online Visualization + Analytical Dimension / Focus ID:1,A multivariate approach for drowsiness detection using empirical Fourier decomposition,Mahato A.,Biomedical Signal Processing and Control,113,,March 2026,10.1016/j.bspc.2025.108944
Interactive / Online Visualization + Analytical Dimension / Focus ID:2,SET-DGCN: An end-to-end electroencephalography-based fatigue detection method for young drivers,Cao Y.,Accident Analysis and Prevention,225,,February 2026,10.1016/j.aap.2025.108311
Interactive / Online Visualization + Analytical Dimension / Focus ID:3,Spatiotemporal evolution of global maritime accidents: Integrating hot spot detection and severity modeling for system safety,Wan C.,Reliability Engineering and System Safety,266,,February 2026,10.1016/j.ress.2025.111687
Interactive / Online Visualization + Analytical Dimension / Focus ID:4,Short-crested wave-induced ship motion prediction using a CL-CBAM-GRU model,Wei Q.,Ocean Engineering,343,,15 January 2026,10.1016/j.oceaneng.2025.123277
Interactive / Online Visualization + Analytical Dimension / Focus ID:5,STCAGNN-RNKDE: a traffic accident prediction model for spatiotemporal combinatorial attention graph neural networks using Ripley's K and network kernel density estimation,Gao P.,Reliability Engineering and System Safety,265,,January 2026,10.1016/j.ress.2025.111593
Interactive / Online Visualization + Analytical Dimension / Focus ID:6,Cloud Integrated Mobile App Development for Road Safety and Pothole Detection Alert System Using Rasperry Pi,Muthu Krishnammal P.,Lecture Notes in Networks and Systems,1386 LNNS,123-146,2026,10.1007/978-981-96-6053-7_9
Interactive / Online Visualization + Analytical Dimension / Focus ID:7,LiDAR-GPS Integrated System for Real-Time Pothole Detection and Visualization Using Google Earth,Pattanashetty V.B.,Lecture Notes in Networks and Systems,1656 LNNS,215-224,2026,10.1007/978-3-032-06703-6_21
Interactive / Online Visualization + Analytical Dimension / Focus ID:8,Chaotic dual-feature graph convolutional network (CDF-GCN) for traffic speed forecasting,Shi N.,Applied Soft Computing,186,,January 2026,10.1016/j.asoc.2025.114096
Interactive / Online Visualization + Analytical Dimension / Focus ID:9,How does the driver respond to rear-end risk under time-varying driving styles: A temporal instability test using the model with heterogeneity in means and variances,Xu G.,Accident Analysis and Prevention,224,,January 2026,10.1016/j.aap.2025.108288
Interactive / Online Visualization + Analytical Dimension / Focus ID:10,Harmony or hazard? Quantifying driver workload under music and navigation distractions using interpretable AI,Peng Z.,Safety Science,193,,January 2026,10.1016/j.ssci.2025.107024
Interactive / Online Visualization + Analytical Dimension / Focus ID:11,Leveraging LLMs in Cloud–Edge Networks for Traffic Risk Prediction and Accident Severity Analysis,Hu Y.,IEEE Transactions on Network Science and Engineering,13,438-453,2026,10.1109/TNSE.2025.3584432
Interactive / Online Visualization + Analytical Dimension / Focus ID:12,Spectral Curvature Signature: A Frequency-Domain Descriptor for Driving Behavior Classification,Thai D.T.,Lecture Notes in Computer Science,16354 LNAI,371-383,2026,10.1007/978-981-95-4960-3_30
Interactive / Online Visualization + Analytical Dimension / Focus ID:13,Driver distracted detection using a new hybrid deep convolutional neural network based on Autoencoder,Hassam D.D.,Engineering Research Express,7,,31 December 2025,10.1088/2631-8695/ae0ff5
Interactive / Online Visualization + Analytical Dimension / Focus ID:14,Intelligent traffic accident detection system in complex dynamic scenarios based on the dual-stream spatiotemporal-fusion model,Liu H.,Engineering Applications of Artificial Intelligence,162,,26 December 2025,10.1016/j.engappai.2025.112675
Interactive / Online Visualization + Analytical Dimension / Focus ID:15,A systematic review on GIS-based road traffic accidents analysis and road safety audit,Endashaw D.K.,Computational Urban Science,5,,December 2025,10.1007/s43762-025-00221-w
Interactive / Online Visualization + Analytical Dimension / Focus ID:16,Multi-view residual spatio-temporal topology adaptive graph convolutional network for urban road traffic accident prediction with multi-source risks,Wang R.,Array,28,,December 2025,10.1016/j.array.2025.100617
Interactive / Online Visualization + Analytical Dimension / Focus ID:17,Time-intervals-related pattern selection for continuous event prediction,Itzhak N.,Pattern Recognition,168,,December 2025,10.1016/j.patcog.2025.111546
Interactive / Online Visualization + Analytical Dimension / Focus ID:18,Temporal facial features based fatigue detection system for low-cost devices,Wang C.,Proceedings of the Institution of Mechanical Engineers Part D Journal of Automobile Engineering,239,7272-7286,December 2025,10.1177/09544070241306160
Interactive / Online Visualization + Analytical Dimension / Focus ID:19,YOLOv10n-BC: A Novel Real-Time Object Detection Model for Driver Distracted Driving Detection,Liu Y.,IEICE Transactions on Information and Systems,E108.D,1570-1581,1 December 2025,10.1587/transinf.2025EDP7088
Interactive / Online Visualization + Analytical Dimension / Focus ID:20,Real-time driver drowsiness detection using transformer architectures: a novel deep learning approach,Hassan O.F.,Scientific Reports,15,,December 2025,10.1038/s41598-025-02111-x
Interactive / Online Visualization + Analytical Dimension / Focus ID:21,Deep segmentation of 3+1D radar point cloud for real-time roadside traffic user detection,Bhanderi S.,Scientific Reports,15,,December 2025,10.1038/s41598-025-23019-6
Interactive / Online Visualization + Analytical Dimension / Focus ID:22,Adaptive multi-scale spatio-temporal convolutional network with reinforcement learning for dynamic lane-level traffic flow prediction,Yang X.,Array,28,,December 2025,10.1016/j.array.2025.100513
Interactive / Online Visualization + Analytical Dimension / Focus ID:23,Deep learning based predictive models for real time accident prevention in autonomous vehicle networks,Almutairi A.,Scientific Reports,15,,December 2025,10.1038/s41598-025-04867-8
Interactive / Online Visualization + Analytical Dimension / Focus ID:24,Assessing motorcyclist injury severity on curved road segments with temporal dynamics and unobserved heterogeneity,Jafari M.,Scientific Reports,15,,December 2025,10.1038/s41598-025-97972-7
Interactive / Online Visualization + Audience / Application Context ID:0,Vehicle extrication in road traffic crashes: a descriptive analysis of an advanced medical rescue service in South Africa,Abdullah N.,African Journal of Emergency Medicine,15,621-627,June 2025,10.1016/j.afjem.2025.04.003
Interactive / Online Visualization + Audience / Application Context ID:1,Crash data availability and best practices across the United States,Younes H.,Traffic Injury Prevention,26,970-979,2025,10.1080/15389588.2025.2466201
Interactive / Online Visualization + Audience / Application Context ID:2,Developing a statewide active transportation planning dashboard with mobility data,Bian R.‘.,Transportation Planning and Technology,48,67-89,2025,10.1080/03081060.2024.2343901
Interactive / Online Visualization + Software / Tools Mentioned ID:0,Artificial Intelligence for Urban Safety: A Case Study for reducing road accident in Genoa,Marceddu A.,International Archives of the Photogrammetry Remote Sensing and Spatial Information Sciences ISPRS Archives,48,131-138,31 May 2024,10.5194/isprs-archives-XLVIII-4-W10-2024-131-2024
Interactive / Online Visualization + Output Type ID:0,UAV-Based Transport Management for Smart Cities Using Machine Learning,Balivada S.,Smart Cities,8,,October 2025,10.3390/smartcities8050154
Interactive / Online Visualization + Evaluation / User Study ID:0,A cross-scale traffic-communication control framework for improving safety through proactive congestion mitigation in mixed traffic,Wu Z.,Accident Analysis and Prevention,226,,March 2026,10.1016/j.aap.2025.108339
Interactive / Online Visualization + Evaluation / User Study ID:1,"Detection of driver maneuvers using a modular, low-cost sensor device",Pourkhaksar A.,Measurement Journal of the International Measurement Confederation,257,,15 January 2026,10.1016/j.measurement.2025.118864
Static / Print Visualization + Visualization Concepts ID:0,Road Accidents - Study of the Evolution and Mapping of Accidents Within the Municipality of Cagliari – Italy,Rassu N.,Lecture Notes in Computer Science,15896 LNCS,401-418,2026,10.1007/978-3-031-97654-4_25
Static / Print Visualization + Visualization Concepts ID:1,Examining the role of random parameters and unobserved heterogeneity in the frequency-severity of rural freeway run-off-road and fixed-object crashes: A Bayesian hierarchical-geospatial approach,Effati M.,Accident Analysis and Prevention,215,,June 2025,10.1016/j.aap.2025.108005
Static / Print Visualization + Visualization Concepts ID:2,Ensuring resilience and safety of the transportation system of Kyiv in planning the network of road tunnels,Haiko H.,Case Studies on Transport Policy,19,,March 2025,10.1016/j.cstp.2024.101355
Static / Print Visualization + Analytical Dimension / Focus ID:0,STCAGNN-RNKDE: a traffic accident prediction model for spatiotemporal combinatorial attention graph neural networks using Ripley's K and network kernel density estimation,Gao P.,Reliability Engineering and System Safety,265,,January 2026,10.1016/j.ress.2025.111593
Static / Print Visualization + Analytical Dimension / Focus ID:1,Determining the Spatial and Temporal Distribution of Traffic Accidents Using GIS-based Data in Tabriz,Dianat I.,Iranian Journal of Epidemiology,20,219-232,Winter 2025,10.18502/ijre.v20i4.18869
Static / Print Visualization + Analytical Dimension / Focus ID:2,A systematic review on GIS-based road traffic accidents analysis and road safety audit,Endashaw D.K.,Computational Urban Science,5,,December 2025,10.1007/s43762-025-00221-w
Static / Print Visualization + Analytical Dimension / Focus ID:3,"Spatiotemporal modeling and mapping of traffic crashes using R programming and GIS: a case study of Bole sub city, Addis Ababa, Ethiopia",Haile M.N.,Scientific Reports,15,,December 2025,10.1038/s41598-025-19651-x
Static / Print Visualization + Analytical Dimension / Focus ID:4,"Trends and disparities in motor vehicle collision injuries in Washington, D.C",Calder R.S.D.,Accident Analysis and Prevention,223,,December 2025,10.1016/j.aap.2025.108243
Static / Print Visualization + Analytical Dimension / Focus ID:5,"Spatiotemporal patterns and environmental determinants of wildlife-vehicle collisions in Banke National Park, Nepal",Koju N.P.,Scientific Reports,15,,December 2025,10.1038/s41598-025-04609-w
Static / Print Visualization + Analytical Dimension / Focus ID:6,Spatial-temporal analysis of roe deer vehicle collisions in Bavaria,Reisinger F.,Journal of Environmental Management,394,,November 2025,10.1016/j.jenvman.2025.127507
Static / Print Visualization + Analytical Dimension / Focus ID:7,Real-Time Detection of Rear Car Signals for Advanced Driver Assistance Systems Using Meta-Learning and Geometric Post-Processing,Tammisetti V.,Applied Sciences Switzerland,15,,November 2025,10.3390/app152211964
Static / Print Visualization + Analytical Dimension / Focus ID:8,Traffic sign detection algorithm with multi-layer fusion and intra-layer emphasis,Li R.,Signal Image and Video Processing,19,,November 2025,10.1007/s11760-025-04563-0
Static / Print Visualization + Analytical Dimension / Focus ID:9,Transfer learning-based facial emotion detection for enhanced driver safety: a hybrid approach,Slimi S.,Engineering Research Express,7,,30 September 2025,10.1088/2631-8695/adfa6b
Static / Print Visualization + Analytical Dimension / Focus ID:10,"Evaluation of indicators of aging-friendly urban indicators in 8 districts of Ahwaz metropolitan, southwest Iran",Asadollahi A.,Discover Applied Sciences,7,,September 2025,10.1007/s42452-025-07514-z
Static / Print Visualization + Analytical Dimension / Focus ID:11,Evaluating the efficiency of spatial-geographical models for vehicle crash frequency estimation: A case study on the urban road network of hamadan province,Almasi S.A.,Transportation Engineering,21,,September 2025,10.1016/j.treng.2025.100362
Static / Print Visualization + Analytical Dimension / Focus ID:12,Enhancing Intelligent Transportation Systems in Smart Cities Using VANETs With Deep Reinforcement Transfer Learning and Explainable AI,Ramesh S.S.S.,Transactions on Emerging Telecommunications Technologies,36,,August 2025,10.1002/ett.70219
Static / Print Visualization + Analytical Dimension / Focus ID:13,Pushing the boundary of child well-being: A spatial examination of child mortality in transition zones of extreme economic inequality and material hardship,Barboza-Salerno G.E.,Plos One,20,,August 2025,10.1371/journal.pone.0330449
Static / Print Visualization + Analytical Dimension / Focus ID:14,Using Wildlife-Vehicle Collision Records to Inform Wildlife Corridor Planning,Villamagna A.,Environmental Management,75,2103-2115,August 2025,10.1007/s00267-025-02214-1
Static / Print Visualization + Analytical Dimension / Focus ID:15,Predictive Models and GIS for Road Safety: Application to a Segment of the Chone–Flavio Alfaro Road,Moreno-Ponce L.A.,Sustainability Switzerland,17,,June 2025,10.3390/su17115032
Static / Print Visualization + Analytical Dimension / Focus ID:16,An investigation of pre-stimulus eeg for prediction of driver reaction time,Ur Rahman S.,Biomedical Physics and Engineering Express,11,,30 May 2025,10.1088/2057-1976/adbf25
Static / Print Visualization + Analytical Dimension / Focus ID:17,Spatio–temporal analysis of traffic crash hotspots- an application of GIS-based technique in road safety,Choudhary A.,Applied Geomatics,17,129-146,March 2025,10.1007/s12518-025-00615-9
Static / Print Visualization + Analytical Dimension / Focus ID:18,Evaluating spatial effect of transportation planning factors on taxi CO2 emissions,Peng Z.,Science of the Total Environment,959,,10 January 2025,10.1016/j.scitotenv.2024.178142
Static / Print Visualization + Analytical Dimension / Focus ID:19,"Identification of Road Traffic Crash Blackspots on National and State Highways in Trivandrum, India Using Kernel Density Estimation",Anil A.B.,Lecture Notes in Civil Engineering,622,71-81,2025,10.1007/978-981-96-1988-7_6
Static / Print Visualization + Analytical Dimension / Focus ID:20,"IDENTIFICATION OF ROAD CRASH ZONES, SPATIAL PATTERNS, AND EMERGING HOT SPOTS OF ROAD TRAFFIC INJURY SEVERITY IN PHUKET, THAILAND",Sae-Ngow P.,Geojournal of Tourism and Geosites,60,1067-1077,2025,10.30892/gtg.602spl04-1480
Static / Print Visualization + Audience / Application Context ID:0,Correlates of Anxiety and Depression Among Youth in India: Findings from a Large-Scale Population-Based Cross-sectional Study,Saraswat N.,Journal of Research in Health Sciences,26,,Winter 2026,10.34172/jrhs.11330
Static / Print Visualization + Audience / Application Context ID:1,Analyzing heterogeneity in motorcycle crashes: a comparative study of senior and young riders using the random forest approach,Mohamad I.,Case Studies on Transport Policy,23,,March 2026,10.1016/j.cstp.2025.101666
Static / Print Visualization + Audience / Application Context ID:2,A Systematic Review on Road Accident Prediction: A Special Attention Toward Machine Learning and Deep Learning Approaches,Verma R.,Journal of Circuits Systems and Computers,35,,30 January 2026,10.1142/S0218126625300090
Static / Print Visualization + Audience / Application Context ID:3,"Exploring Vehicular Ad-Hoc Networks: Evaluating Challenges, Applications, and Future Scope in Vehicular Ad-Hoc Networks",Sharma S.,Lecture Notes in Networks and Systems,1477 LNNS,423-434,2026,10.1007/978-981-96-8639-1_35
Static / Print Visualization + Audience / Application Context ID:4,Technology-facilitated gender-based violence: Categorizing and understanding sexual abuse against women ridesharing drivers,Crowley J.E.,Women S Studies International Forum,114,,1 January 2026,10.1016/j.wsif.2025.103197
Static / Print Visualization + Audience / Application Context ID:5,Discrepancies in media reporting of fatal road crashes and official data in India,Ashutosh A.,Scientific Reports,15,,December 2025,10.1038/s41598-025-14010-2
Static / Print Visualization + Audience / Application Context ID:6,General framework of nonlinear factor interactions using bayesian networks for risk analysis applied to road safety and public health,Carrodano C.,Scientific Reports,15,,December 2025,10.1038/s41598-025-13572-5
Static / Print Visualization + Audience / Application Context ID:7,"Predicting car accident severity in Northwest Ethiopia: a machine learning approach leveraging driver, environmental, and road conditions",Mengistu A.K.,Scientific Reports,15,,December 2025,10.1038/s41598-025-08005-2
Static / Print Visualization + Audience / Application Context ID:8,Equestrian Road Safety: A review of the literature and where next,Chapman C.,Journal of Transport and Health,45,,December 2025,10.1016/j.jth.2025.102193
Static / Print Visualization + Audience / Application Context ID:9,Information Needs and Seeking Behaviour of Long-Distance Bus Drivers in Selected Cities in Nigeria,Nwagwu W.E.,Libres,35,74-103,December 2025,10.32655/LIBRES.2025.1.4
Static / Print Visualization + Audience / Application Context ID:10,Women's perceived safety in public transport: Insights from the Middle East,Soltani A.,Journal of Transport Geography,129,,December 2025,10.1016/j.jtrangeo.2025.104413
Static / Print Visualization + Audience / Application Context ID:11,Glaucoma and Driving: a Review,Kontos M.,Current Ophthalmology Reports,13,,December 2025,10.1007/s40135-024-00328-z
Static / Print Visualization + Audience / Application Context ID:12,Advancements in accident-aware traffic management: a comprehensive review of V2X-based route optimization,Zohir H.M.,Scientific Reports,15,,December 2025,10.1038/s41598-025-20878-x
Static / Print Visualization + Audience / Application Context ID:13,Lethal kite threads: Near-decapitation of a motorcyclist,G G.,Medico Legal Journal,93,236-239,December 2025,10.1177/00258172251325093
Static / Print Visualization + Audience / Application Context ID:14,Investigating pedestrian crash injury patterns: A comparative study of children and non-children,Wang Z.,Accident Analysis and Prevention,222,,November 2025,10.1016/j.aap.2025.108223
Static / Print Visualization + Audience / Application Context ID:15,Digital roads and data ethics: Exploring the road users’ perspective,Song R.,Transportation Research Part F Traffic Psychology and Behaviour,115,,November 2025,10.1016/j.trf.2025.103330
Static / Print Visualization + Audience / Application Context ID:16,An integration of physical and psychological health through the Hero's Journey in Guided Imagery & Music: A cross-case analysis,Heiderscheit A.,Arts in Psychotherapy,96,,November 2025,10.1016/j.aip.2025.102348
Static / Print Visualization + Audience / Application Context ID:17,"A comparison of the prevalence of cannabis and alcohol use among drivers and passengers in British Columbia and Ontario, Canada",Pei L.X.,Accident Analysis and Prevention,222,,November 2025,10.1016/j.aap.2025.108242
Static / Print Visualization + Audience / Application Context ID:18,Real Time Distracted Driver Detection Using Xception Architecture And Raspberry Pi,Narayanan U.,Inteligencia Artificial,28,15-29,19 October 2025,10.4114/intartif.vol28iss75pp15-29
Static / Print Visualization + Audience / Application Context ID:19,Trends in collisions and traffic mortality rates in Mexico City: A comparison of six data sources,Ortiz M.L.H.,Plos One,20,,October 2025,10.1371/journal.pone.0334103
Static / Print Visualization + Audience / Application Context ID:20,Values and Ethics as Education Policy: Media Framing of Ecuador’s 2024 Curriculum Reform,Tusa F.,Education Sciences,15,,October 2025,10.3390/educsci15101328
Static / Print Visualization + Audience / Application Context ID:21,"Necessary, but not quite sufficient? Public opinion and reported behaviour following the reduction of speed limits in Scottish rural settlements",Davis A.L.,Journal of Transport and Health,44,,October 2025,10.1016/j.jth.2025.102167
Static / Print Visualization + Audience / Application Context ID:22,Exploring the effect of perceived safety in first/last mile mode choices,Tzouras P.G.,Transportation,52,2145-2183,October 2025,10.1007/s11116-024-10487-4
Static / Print Visualization + Audience / Application Context ID:23,Advancing the design and implementation of accessible taxi services: A study of driver and disabled rider experiences,Comeau É.,Transport Policy,172,,October 2025,10.1016/j.tranpol.2025.103762
Static / Print Visualization + Audience / Application Context ID:24,Analysis of Injury Severity in Elderly Pedestrian Traffic Accidents Based on XGBoost,Wang H.,Applied Sciences Switzerland,15,,September 2025,10.3390/app15189909
Static / Print Visualization + Software / Tools Mentioned ID:0,Road Accidents - Study of the Evolution and Mapping of Accidents Within the Municipality of Cagliari – Italy,Rassu N.,Lecture Notes in Computer Science,15896 LNCS,401-418,2026,10.1007/978-3-031-97654-4_25
Static / Print Visualization + Output Type ID:0,Incidence of persistent opioid use following traumatic injury: An infographic,Mauck M.C.,Regional Anesthesia and Pain Medicine,49,87,5 February 2024,10.1136/rapm-2023-104812
Static / Print Visualization + Evaluation / User Study ID:0,Instructor-Led VR training in medical emergency rescue education for road traffic accidents: a questionnaire-based study,Li Z.,Scientific Reports,15,,December 2025,10.1038/s41598-025-15258-4
Static / Print Visualization + Evaluation / User Study ID:1,"Intrathecal Drug Delivery for Intractable Pain: Identified Patient Satisfaction Survey Study Comparing Intrathecal Dose With Satisfaction, Pain Relief, and Side Effects",Schultz D.M.,Neuromodulation,28,1059-1069,October 2025,10.1016/j.neurom.2024.11.006
Static / Print Visualization + Evaluation / User Study ID:2,Assessment of Traffic Sign Visibility in Various Conditions,Naskar A.K.,Journal of the Institution of Engineers India Series A,106,891-905,September 2025,10.1007/s40030-025-00909-6
Static / Print Visualization + Evaluation / User Study ID:3,Spatiotemporal graph learning driven by multivariate KAN for urban road network traffic prediction,Zhang A.,Journal of Supercomputing,81,,July 2025,10.1007/s11227-025-07671-3
Static / Print Visualization + Evaluation / User Study ID:4,"Analyzing feature importance for older pedestrian crash severity: A comparative study of DNN models, emphasizing road and vehicle types with SHAP interpretation",Akter R.,Multimodal Transportation,4,,June 2025,10.1016/j.multra.2025.100203
Static / Print Visualization + Evaluation / User Study ID:5,Comparing AI and human-generated health messages in an Arabic cultural context,Hussain S.A.,Global Health Action,18,,2025,10.1080/16549716.2025.2464360
Tabular / Spreadsheet Visualization + Visualization Concepts ID:0,"Patterns, Causes, and Mortality Trends of Road Traffic Accidents in Hamedan Province, Iran: A Spatiotemporal Epidemiological Analysis (2011–2024)",Jalili E.,Journal of Research in Health Sciences,26,,Winter 2026,10.34172/jrhs.11510
Tabular / Spreadsheet Visualization + Visualization Concepts ID:1,"Monthly rural-urban scaling of road accidents in England, Wales and Scotland (2019-2023)",Copsey I.,Applied Mathematics and Computation,516,,1 May 2026,10.1016/j.amc.2025.129874
Tabular / Spreadsheet Visualization + Visualization Concepts ID:2,Effect of COVID-19 restrictions and fuel prices on traffic volume and offenses in Iran: A spatiotemporal analysis,Delavary M.,Plos One,20,,October 2025,10.1371/journal.pone.0332443
Tabular / Spreadsheet Visualization + Visualization Concepts ID:3,Segment length optimization for crash frequency modelling: Evaluating power spectral segment length in safety performance assessment,Kumar P.,Accident Analysis and Prevention,219,,September 2025,10.1016/j.aap.2025.108122
